timestamp,username,tweet,mentions,hashtags,likes,retweets,comments,replies,views,compound,sentiment,topic
2025-06-29 12:14:27,IT_Jobs_Ca,servicenow engineer iv living valuesall associates guided values values unifying foundation companies strive ensure every decision engineer iv,,"jobs,ITJobs,NowHiring,ITJobPro",0,0,0,0,0,0.7906,positive,4
2025-06-29 12:05:08,fleejack,day southern university college baton rouge la founded,,"HBCUtour,hbcu,hbcus,jobs,careers,HBCUDivision,diversityandinclusion,guestlecturer",1,0,0,0,4,0.0,neutral,2
2025-06-29 12:04:14,PropertyVendors,companies hiring property preservation vendors across mi mo ms oh va wv,,"PropertyPreservation,Foreclosure,REO,Jobs,Hiring",0,0,0,0,3,0.0,neutral,4
2025-06-29 12:01:14,SumedhShende4,learn code system design concepts,,"systemdesign,interview,jobs",0,0,0,0,5,0.0,neutral,4
2025-06-29 12:00:35,JCPBedsAndHerts,team member required hollywood bowl watford herts info apply,,"LeisutreJobs,CustomerServiceJobs,Watford,Herts,Jobs",0,0,0,0,11,0.0,neutral,0
2025-06-29 12:00:04,NCSIndia,empowering abilities discover job opportunities tailored ncs portal register today,,"NCS,Career,Skills,Jobs,Employment,DAs",0,0,0,0,27,0.5574,positive,2
2025-06-29 12:00:00,Earthworksjobs,funded phd igneous petrology geochemistry perth australia tin,,"jobs,research,PhD,igneous,petrology,geochemistry,geoscience,geology",1,0,0,0,52,0.0,neutral,2
2025-06-29 11:56:03,WOBionetworks,wobn jobs lab aide seattle wa gon biotech jobs lab aide seattle wa utm source rss utm medium rss utm campaign lab aide seattle wa,,"biotech,jobs",0,0,0,0,0,0.0,neutral,3
2025-06-29 11:54:26,Kanishk1804,elon musk says president trump one big beautiful bill destroy millions jobs harm us,,"ElonMusk,Trump,USPolitics,Jobs,Economy",1,0,0,0,46,-0.4767,negative,2
2025-06-29 11:54:08,MamboJournal,africa mega interchanges efficient creating jobs boosting trade major road cutting jams creating boosting saving lives mega projects shaping africa future,,"Africa,interchanges,transforming,cities,traffic,jobs,trade",0,0,0,0,14,0.849,positive,2
2025-06-29 11:32:26,TheLayoffBot,intel thread topic happen us intc ibm qcom,,"intel,intc,hightech,chips,semiconductors,californiajobs,oregonjobs,jobs,recession,layoff,layoffs,thelayoff,QCOM,qualcomm",0,0,0,0,34,0.0,neutral,1
2025-06-29 11:32:22,TheLayoffBot,intel thread topic package summary enhance retirement pretty decent qualify intc ibm qcom,,"intel,intc,hightech,chips,semiconductors,californiajobs,oregonjobs,jobs,recession,layoff,layoffs,thelayoff,QCOM,qualcomm",0,0,0,0,39,0.4939,positive,1
2025-06-29 11:31:49,TheLayoffBot,intel thread topic package details intc ibm qcom,,"intel,intc,hightech,chips,semiconductors,californiajobs,oregonjobs,jobs,recession,layoff,layoffs,thelayoff,QCOM,qualcomm",0,0,0,0,40,0.0,neutral,1
2025-06-29 11:31:42,TheLayoffBot,intel thread topic sk fired intc ibm qcom,,"intel,intc,hightech,chips,semiconductors,californiajobs,oregonjobs,jobs,recession,layoff,layoffs,thelayoff,QCOM,qualcomm",0,0,0,0,42,-0.5574,negative,1
2025-06-29 11:31:14,TheLayoffBot,wells fargo thread topic get laid decide travel overseas wfc wfb bac,,"wellsfargo,wellsfargobank,bac,bofa,bankinglayoffs,bankingjobs,jobs,recession,layoffs2025,whitecollarjobs,layoff,layoffs,thelayoff",0,0,0,0,36,0.25,positive,1
2025-06-29 11:31:07,TheLayoffBot,shell oil thread topic skills qualities needed get outsourced laid shel,,"ShellOil,Shell,dallas,houston,irving,texas,texasjobs,texaslayoffs,exxonmobil,jobs,recession,layoff,layoffs,thelayoff,oilandgas",0,0,0,0,24,0.0,neutral,1
2025-06-29 11:30:47,TheLayoffBot,wells fargo thread topic gary getting laid tomorrow wfc wfb bac,,"wellsfargo,wellsfargobank,bac,bofa,bankinglayoffs,bankingjobs,jobs,recession,layoffs2025,whitecollarjobs,layoff,layoffs,thelayoff",0,0,0,0,43,0.25,positive,1
2025-06-29 11:30:43,TheLayoffBot,dell thread topic one leaves dell,,"dell,austin,austinlayoffs,roundrock,texasjobs,texas,itjobs,delljobs,itlaoffs,jobs,recession,whitecollarjobs,layoff,layoffs,thelayoff",0,0,0,0,17,0.0,neutral,1
2025-06-29 11:30:26,TheLayoffBot,intel thread topic beuracaceatic processes redundant meetings increasing alongside management hostility intc ibm qcom,,"intel,intc,hightech,chips,semiconductors,californiajobs,oregonjobs,jobs,recession,layoff,layoffs,thelayoff,QCOM",0,0,0,0,43,-0.5423,negative,1
2025-06-29 11:27:45,TheLayoffBot,hp hewlett packard thread topic emea layoffs week hpe,,"HPE,Spring,Texas,InformationTechnology,Consulting,itjobs,itlaoffs,jobs,recession,whitecollarjobs,layoff,layoffs,thelayoff",0,0,0,0,12,0.0,neutral,1
2025-06-29 11:27:36,TheLayoffBot,dell thread topic severance packages ireland dell,,"dell,austin,austinlayoffs,roundrock,texasjobs,texas,itjobs,delljobs,itlaoffs,jobs,recession,whitecollarjobs,layoff,layoffs,thelayoff",0,0,0,0,9,0.0,neutral,1
2025-06-29 11:27:33,TheLayoffBot,wells fargo thread topic layoff thread wfc wfb bac,,"wellsfargo,wellsfargobank,bac,bofa,bankinglayoffs,bankingjobs,jobs,recession,layoffs2025,whitecollarjobs,layoff,layoffs,thelayoff",0,0,0,0,35,0.25,positive,1
2025-06-29 11:27:20,TheLayoffBot,verizon thread topic performance improvement plan vz tmus,,"verizon,mobile,telcojobs,sprint,telcos,tmobile,att,telecom,layoff,layoffs,jobcut,layoffs2025,telecomjobs,jobs,recruitng,Techjobs",0,0,0,0,19,0.4588,positive,1
2025-06-29 11:27:07,TheLayoffBot,dell thread topic talk action dell,,"dell,austin,austinlayoffs,roundrock,texasjobs,texas,itjobs,delljobs,itlaoffs,jobs,recession,whitecollarjobs,layoff,layoffs,thelayoff",0,0,0,0,8,0.0,neutral,1
2025-06-29 11:27:02,TheLayoffBot,intel thread topic outsourcing means lower quality work intc ibm qcom,,"intel,intc,hightech,chips,semiconductors,californiajobs,oregonjobs,jobs,recession,layoff,layoffs,thelayoff,QCOM,qualcomm",0,0,0,0,27,-0.296,negative,1
2025-06-29 11:26:49,TheLayoffBot,honeywell thread topic careful tell manager hon,,"HON,Honeywell,Layoff,Layoffs,Redundancy,layoffs2025,JobCut,JobCuts,Recession,Jobs,JobsGrowth,Aerospace,Resideo,Charlotte,phoenix,glendale",0,0,0,0,30,0.1531,positive,1
2025-06-29 11:26:42,TheLayoffBot,intel thread topic think performance save intc ibm qcom,,"intel,intc,hightech,chips,semiconductors,californiajobs,oregonjobs,jobs,recession,layoff,layoffs,thelayoff,QCOM,qualcomm",0,0,0,0,24,0.4939,positive,1
2025-06-29 11:08:17,JobsCollider,simspace hiring senior security automation engineer united states apply,,"Cybersecurity,Remote,Jobs,JobsCollider",0,0,0,0,7,0.6369,positive,4
2025-06-29 11:08:10,scitoday_jobs,research associate doctoral researcher transportation trr agimo,,"science,jobs,sciencejobs,job",0,0,0,0,1,0.0,neutral,3
2025-06-29 11:07:40,scitoday_jobs,doctoral researcher modelling simulation airport op erations,,"science,jobs,sciencejobs,job",0,0,0,0,3,0.0,neutral,2
2025-06-29 11:06:39,scitoday_jobs,projektkoordination onboarding programm studierende school engineering design,,"science,jobs,sciencejobs,job",0,0,0,0,1,0.0,neutral,4
2025-06-29 11:06:09,scitoday_jobs,storyteller hot topics engineering projektkoordination zentrale veranstaltungen der school engineering design,,"science,jobs,sciencejobs,job",0,0,0,0,1,0.0,neutral,4
2025-06-29 11:05:09,scitoday_jobs,academic quality standards officer cc,,"science,jobs,sciencejobs,job",0,0,0,0,0,0.0,neutral,0
2025-06-29 11:05:04,lpamanian,apply,,"JobFair,USPSCareers,Vermontjobs,hiring,jobs,jobsearch,joinourteam,USPS,USPSEmployee,USPSEmployee",0,0,0,0,1,0.0,neutral,2
2025-06-29 11:04:38,scitoday_jobs,phd candidate marine electrification smart onboard energy systems knadsfrist torsdag juli,,"science,jobs,sciencejobs,job",0,0,0,0,2,0.5859,positive,4
2025-06-29 11:00:20,JCPBedsAndHerts,field care supervisor required home instead bedford beds info apply,Homeinsteaduk,"CareJobs,ManagementJobs,Bedford,Beds,Jobs",0,0,0,0,16,0.4939,positive,0
2025-06-29 10:52:27,AgileUAE,hiring audit associate salary aed submit cv ociate,,"Hiring,Recruitment,Networking,Jobs,Careers,AuditAssociate,AuditJobs,AccountingJobs,FinanceJobs,DubaiJobs,ACCAJobs,CPACareers,UAEJobs,AuditorVacancy,Apply,AgileConsultants",0,0,0,0,18,0.0,neutral,0
2025-06-29 10:46:34,Boss7502,residence egypt location cairo egypt application deadline july find full details apply,,"Sweden,SwedeninEgypt,TeamSweden,Vacancy",0,0,0,0,6,0.0,neutral,2
2025-06-29 10:44:34,FrugalFinanced,prestigious award winning restaurant hiring apply pot id callback url,"BlueOnHighland,adampatti","Hiring,RestaurantJobs,RestaurantLife,Jobs,Job,Career,Needham,Careers,JobOpportunity",1,0,0,0,14,0.7845,positive,4
2025-06-29 10:43:32,NCSIndia,dream job never cost safety ncs helps stay one step ahead fraud,,"NCS,Career,Skills,Jobs",3,3,0,0,535,-0.3678,negative,2
2025-06-29 10:30:57,h_pongilath,central university karnataka dist announced geography programme mentioned,,"CUK,Gulbarga,Karnataka,Vacancy,Msc,Geography,University,Education",0,0,0,0,37,0.0,neutral,2
2025-06-29 10:11:06,zafartalks,week retrospective built past week contact,,"components,website,jobs,projects,opentowork,jobseeker,html,css,nextjs,reactjs,code,coding,webdev,webapps,javascript,ui,ux",0,0,0,0,16,0.0,neutral,2
2025-06-29 10:06:25,Harsha_Sabbana,appreciated wishing fellow cas happy ca day,,"CADay,charteredaccountant,gratitude,naukri,lifeasaca,1stJuly,CAProfession,CACommuni",0,0,0,0,8,0.836,positive,2
2025-06-29 10:01:44,wowjobshq,logistics assistant administration assistant sales assistant assist department managers respective duties,,"Zambia,ZedTwitter,jobs,job,JobPosition",0,0,1,0,12,0.4215,positive,0
2025-06-29 10:00:24,JCPBedsAndHerts,learning support assistant required national autistic society radlett herts info apply,Autism,"EducationJobs,TeachingJobs,Jobs,Radlett,Herts",0,0,0,0,21,0.4019,positive,0
2025-06-29 10:00:21,uiuxjobsboard,creative minds wanted full time ui designer location london united kingdom design next big thing learn designer london united kingdom,,"uxdesign,jobs,tech,design",1,0,0,0,30,0.8176,positive,4
2025-06-29 10:00:14,TopOneHire,reel next big catch perfect job top one hire today check open jobs today,,"hiring,hiringnow,job,career,success,jobopening,jobseeker,work,productivity,newjob,opentowork",0,0,0,0,5,0.6705,positive,2
2025-06-29 09:31:03,BCBNJobs,research specialist cell culture boston ge biotech jobs research specialist cell culture boston utm source rss utm medium rss utm campaign research specialist cell culture boston,,"jobs,biotech",0,0,0,0,11,0.0,neutral,3
2025-06-29 09:29:25,Job_Energy,senior desktop support technician description ngen largest services program navy service management integration transport smit portion ktop support technician,,"jobs,Recruiting,NowHiring",0,0,0,0,10,0.6597,positive,0
2025-06-29 09:27:54,alexahirejobs,tcs walkin interview chennai freshers expereinced apply apply erview chennai freshers expereinc,,"HiringNow,JobOpening,NowHiring,Jobs,CareerOpportunities,Employment,JobSearch,JobListing,JobPosting,RemoteWork,Hiring,Recruiting,Career,JobHunt",0,0,0,0,11,0.0,neutral,2
2025-06-29 09:27:12,illbeback_jobs,ai senior project manager project manager feed id unique id efd follow updated new,e2ftranslations,"jobs,AI,ML,AIJobs,AITalent,hiring,ProjectManagement,N",0,0,0,0,15,0.0,neutral,4
